[2026-06-08 15:09:39,554] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_PROCESS_TERMINATED
[2026-06-08 15:09:39,675] [CMultiProcessBase] Process released: MPEmergency
[2026-06-08 15:09:39,698] [CROSHealthcareNode] ROSHealthcareNode shutdown.
[2026-06-08 15:09:39,698] MPRobotTask process routine terminated.
[2026-06-08 15:09:39,698] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_PROCESS_TERMINATED
[2026-06-08 15:09:39,836] [CMultiProcessBase] Process released: MPRobotTask
[2026-06-08 15:09:39,836] [CControlCore] ControlCore stopped.
[2026-06-08 15:09:39,836] [CMainWindow] MainWindow closed.
[2026-06-08 15:09:39,855] Application terminated.
[2026-06-08 15:12:46,170] Application start.
[2026-06-08 15:12:46,290] [CControlCore] ControlCore initialized.
[2026-06-08 15:12:46,308] [CMainWindow] MainWindow initialized.
[2026-06-08 15:12:49,433] [CMultiProcessBase] Process started: MPCamera
[2026-06-08 15:12:49,433] MPCamera process routine started.
[2026-06-08 15:12:49,440] [CMultiProcessBase] Process started: MPSTT
[2026-06-08 15:12:49,441] MPSpeechToText process routine started.
[2026-06-08 15:12:49,448] [CMultiProcessBase] Process started: MPTTS
[2026-06-08 15:12:49,449] MPTextToSpeech process routine started.
[2026-06-08 15:12:49,462] [CMultiProcessBase] Process started: MPLLM
[2026-06-08 15:12:49,464] MPLLM process routine started.
[2026-06-08 15:12:49,473] [CMultiProcessBase] Process started: MPEmergency
[2026-06-08 15:12:49,474] MPEmergency process routine started.
[2026-06-08 15:12:49,480] [CMultiProcessBase] Process started: MPRobotTask
[2026-06-08 15:12:49,481] MPRobotTask process routine started.
[2026-06-08 15:12:49,682] [CControlCore] EVENT | state=START | event=STARTUP_DONE
[2026-06-08 15:12:49,682] [CControlCore] STATE CHANGE | START -> IDLE
[2026-06-08 15:12:49,682] [CSpeechToText] SpeechToText initialized.
[2026-06-08 15:12:49,682] [CControlCore] ControlCore started.
[2026-06-08 15:12:49,683] [CEmergencyDetector] Loading emergency VLM model...
